refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
SPATA25	40	85	39	57	9	71	29	67	43	42	46	116	48	50
PLTP	951	2258	2905	3401	413	3107	2223	2526	2510	2162	3138	1764	1973	4008
MMP9	0	2	10	12	4	21	15	19	6	13	6	35	12	114
SLC12A5	22	45	33	36	6	26	32	50	29	33	32	53	12	68
ZNF335	2613	2910	2841	2315	1897	2528	3309	1873	2784	2037	2895	2287	2028	2937
CD40	487	215	1768	610	509	458	1558	2704	878	929	866	568	1506	1499
ELMO2	2820	3138	4423	2986	4254	3429	2467	5229	3793	3535	3199	3031	4165	3904
SLC35C2	1900	2469	2670	2395	2255	2457	2434	3385	2331	2081	2637	2097	2760	3700
ZNF663P	50	8	23	5	10	6	3	45	64	20	30	133	7	6
ZNF334	1086	760	1054	1325	660	939	714	2170	1085	919	1106	1460	1015	1103
MKRN7P	41	2	26	16	10	6	10	40	48	16	36	81	6	8
OCSTAMP	0	0	0	0	0	4	0	0	0	0	0	0	0	0
TP53RK	1744	1359	2515	1472	3694	1797	1127	2531	2686	1746	1552	1414	2269	1612
MIR3616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927377	318	714	269	1097	120	798	135	318	197	333	387	368	324	591
LOC100131496	124	381	143	665	55	397	174	48	104	131	216	148	123	196
LINC01523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00494	0	0	0	0	0	3	0	4	2	4	6	55	0	0
CSE1L-AS1	2	0	6	2	3	5	17	9	5	2	4	1	3	3
STAU1	8623	6103	10705	7196	13971	8865	5935	16652	9669	8568	7536	7483	12436	9839
ZFAS1	4967	3591	3212	3766	10675	4665	6092	8488	9831	4839	5344	5873	5619	5192
SNORD12C	144	49	183	110	102	80	74	95	138	65	101	44	66	128
SNORD12B	230	137	249	129	138	115	179	105	229	115	188	129	118	218
SNORD12	186	93	147	132	137	105	61	114	150	85	184	91	124	148
ZNFX1	6326	5567	11225	6142	11715	6604	6538	10497	14586	11011	7030	9272	10759	7444
KCNB1	0	4	0	0	2	68	0	36	12	30	4	28	0	16
PTGIS	588	14	285	88	6	11	130	24	92	1286	146	68	626	60
B4GALT5	5260	3506	8743	4665	9223	4802	3456	11177	6391	5325	5273	4179	5467	5789
SPATA2	560	464	655	474	340	527	647	736	551	484	633	483	510	579
LOC105372653	3	0	7	6	4	0	0	5	1	8	7	13	3	0
SNAI1	213	735	308	330	170	724	161	282	216	76	495	120	183	891
RNF114	2664	1548	3152	1882	3870	2042	1598	4836	3275	2552	1900	2456	3062	2286
UBE2V1	677	811	569	767	478	853	609	612	570	676	743	664	590	855
TRERNA1	0	0	2	0	0	0	2	0	0	0	0	0	0	2
CEBPB	500	659	812	537	370	811	715	1102	776	949	1131	998	486	1984
LINC01273	19	5	13	10	11	13	39	35	12	31	21	14	15	38
CEBPB-AS1	24	38	30	12	36	38	30	25	88	40	77	44	36	56
LINC01271	14	29	14	30	33	35	4	68	20	23	16	34	43	39
LINC01270	43	57	27	33	36	61	13	110	42	41	33	35	83	51
MIR1302-5	0	3	0	0	1	0	0	1	0	0	0	0	0	0
MIR645	24	57	38	29	15	16	19	21	8	24	21	27	13	39
LOC100506175	0	0	4	2	0	0	2	2	0	0	2	0	0	0
PARD6B	905	424	1471	900	958	922	1761	4330	1197	1542	1044	1933	965	1017
DPM1	1450	1046	1501	1249	2535	1487	1031	2355	1768	1153	1172	1256	1726	1724
ADNP-AS1	92	101	104	73	81	93	192	105	85	87	165	107	109	162
KCNG1	49	116	174	236	221	484	121	58	359	115	351	107	101	775
MOCS3	654	445	766	484	884	659	471	923	952	638	526	547	804	648
SALL4	101	121	66	422	72	628	86	171	133	158	291	166	87	324
LOC101927770	104	132	115	167	63	120	300	93	82	121	220	96	88	276
LOC105372672	4	0	1	2	0	2	1	0	1	4	1	0	0	4
ZNF217	4869	5180	7249	6503	8814	8099	5284	12709	7120	6747	7209	6338	7850	9111
SUMO1P1	0	0	0	0	2	0	0	0	0	0	0	0	0	2
BCAS1	0	0	2	6	1	8	12	13	1	4	0	3	4	4
MIR4756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP24A1	12	0	44	55	2429	29	80	63	5	223	25	116	504	51
PFDN4	1061	683	1062	1128	1828	1122	1190	2819	1085	1007	872	800	1585	1366
LINC01440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF1	2427	1413	2264	1774	4297	2243	1117	4145	2739	1789	1295	1776	3172	2012
FAM210B	1794	2812	3702	3504	4029	2314	1774	4615	3129	3768	2770	2505	2959	4077
AURKA	5696	758	3541	1409	6806	2022	550	4158	2753	1914	1481	2347	4888	1709
CASS4	29	31	18	4	37	45	5	64	5	7	13	41	3	24
GCNT7	110	90	105	104	50	136	168	56	118	103	132	138	85	98
LINC01716	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM209B	10	5	5	20	12	8	5	18	12	12	7	32	17	14
FAM209A	5	11	7	6	3	7	8	3	9	7	9	10	6	15
TFAP2C	4	0	10	16	10	29	12	6	8	0	2	6	20	55
BMP7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPO11	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RAE1	2156	1311	2025	1334	3480	1806	971	2981	2372	1645	1365	1548	2232	1971
MTRNR2L3	32	30	31	17	24	24	39	23	9	25	16	22	15	49
ZBP1	0	0	0	2	1	1	4	2	0	2	4	1	0	0
PCK1	2	0	0	0	0	6	0	2	8	0	2	3	0	0
NKILA	189	133	345	172	344	231	164	659	173	339	196	153	437	411
MIR4532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD60	0	1	1	3	0	1	2	2	5	0	3	0	0	0
PPP4R1L	1078	903	1040	902	462	1294	856	1109	917	1220	1258	1208	798	1421
APCDD1L	126	196	1402	858	302	377	449	2837	760	1035	688	892	1725	681
STX16	3084	4242	3779	5590	3443	4776	4327	4380	3967	3945	4029	4351	4166	5579
LINC01711	15	40	7	58	68	55	19	79	33	12	41	13	166	22
MIR296	4	0	0	6	6	3	0	0	2	5	2	0	0	1
MIR298	7	2	0	8	4	5	0	2	2	4	1	4	1	0
LOC105372695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAS	26007	29378	36675	32080	41393	41785	28563	56598	32282	35279	32995	28836	42578	41006
LOC101927932	7	2	4	4	1	4	2	9	3	6	3	7	6	2
SLMO2-ATP5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3B	2746	1474	2499	2348	6081	2750	1731	5257	3770	2196	1875	2358	3255	2716
CTSZ	4665	3979	12743	4863	7150	4957	6552	7666	6870	8169	7386	5846	8142	7632
ATP5E	1265	1147	1449	1406	2184	1240	1021	2559	1777	823	1024	864	2138	1426
NELFCD	4432	2930	4635	3515	5096	4213	1446	6407	3978	2997	2313	2537	4424	3750
TUBB1	250	138	158	244	155	162	58	212	208	167	112	126	210	184
EDN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100506384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM217B	1500	1008	1674	996	2789	1316	786	2753	2103	1540	1208	1557	2439	1469
CDH26	26	33	26	22	14	23	18	13	36	33	35	24	38	32
PPP1R3D	464	299	555	352	805	446	314	768	577	556	423	462	626	421
C20orf197	9	4	8	12	8	5	0	8	16	5	2	12	22	4
LOC729296	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MIR646	0	2	0	0	0	1	0	2	0	0	10	0	0	2
LOC101928048	5	0	0	5	0	0	0	0	1	0	4	0	0	0
MIR4533	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR548AG2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC01718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1257	0	0	0	1	0	0	2	0	0	0	0	0	0	1
MIR3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRH3	2	6	0	6	0	2	2	1	0	0	2	8	0	0
SS18L1	1424	1582	1617	1902	2298	1865	1442	1492	1441	1331	1240	1348	1320	1573
MTG2	1033	1019	1106	694	906	1129	745	1203	1247	893	856	868	1066	1084
LSM14B	1798	1381	2131	1469	2376	1474	1147	1915	2227	1696	1638	1642	1686	1562
PSMA7	10336	6576	12200	7667	17911	9224	6144	16904	13029	6759	7578	6301	16135	9482
LAMA5-AS1	22	51	24	27	6	28	87	6	5	20	24	6	18	19
ADRM1	5856	3771	6090	3661	5704	4616	3886	5495	5717	3559	5520	3885	6607	4414
MIR4758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA5	6604	17117	25202	16076	3421	11852	46967	17376	3096	8193	15464	7887	13967	15105
RPS21	7200	5184	7639	7490	10341	7042	5874	14170	8528	4934	5294	4963	9577	7885
GATA5	0	2	8	0	0	0	2	0	2	0	4	2	0	0
CABLES2	781	513	774	605	891	473	533	657	807	610	634	772	701	606
RBBP8NL	1	0	0	3	0	3	4	0	1	4	0	0	0	4
C20orf166-AS1	26	16	30	2	7	0	444	27	84	23	14	21	23	33
MIR1-1HG	3	0	4	0	0	0	41	2	3	0	0	6	2	2
MIR1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR133A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO4A1	620	19	957	164	161	128	917	891	310	425	290	337	308	606
SLCO4A1-AS1	49	2	15	13	0	14	47	13	6	10	14	12	7	7
LINC00659	0	0	0	4	0	0	2	2	2	2	0	0	0	0
MRGBP	1998	1299	1857	1280	2323	1738	1081	2340	1922	1590	1530	1693	2253	1680
OGFR	1412	2046	2680	1646	1240	1667	3220	1669	1782	1517	2469	2139	1902	2107
OGFR-AS1	5	23	8	12	7	8	15	5	8	2	11	11	9	10
COL9A3	3	50	12	71	18	69	4	47	10	2	12	2	18	18
DIDO1	8852	8922	8896	8454	11851	9037	7076	9781	7912	8826	8079	9109	8474	6932
DPH3P1	121	114	148	79	289	93	74	117	186	169	115	116	143	64
GID8	3665	2999	4783	3617	6887	4136	2298	6954	4466	3817	3107	3239	5401	4010
SLC17A9	1637	3200	3429	3888	1600	4051	5216	1002	3200	2088	2659	1954	2207	3576
BHLHE23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01749	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC00029	0	0	0	0	0	22	0	0	0	0	0	0	0	0
HAR1B	0	0	0	0	0	0	0	4	0	0	4	0	0	0
LINC01056	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR124-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YTHDF1	4046	3401	5720	3539	6319	4099	2881	6161	5425	4329	3960	3880	4624	3777
BIRC7	4	68	18	44	15	35	10	57	10	10	24	4	10	22
MIR4326	7	16	9	6	0	7	9	10	8	4	5	2	0	5
ARFGAP1	7293	13253	11768	11070	8663	10449	13935	9775	10003	6750	10931	8034	8372	9891
NKAIN4	26	533	895	498	730	211	349	914	264	120	959	254	186	460
FLJ16779	42	637	678	389	429	211	291	433	155	108	1134	129	113	347
COL20A1	2	64	3	6	2	8	22	8	30	0	11	23	1	8
CHRNA4	0	0	0	0	0	4	0	0	8	2	2	2	0	0
MIR3196	0	0	1	2	0	0	0	0	0	0	0	0	0	0
KCNQ2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
GMEB2	882	1082	1358	1059	931	1017	980	1533	1031	940	1041	957	1024	1048
PTK6	16	113	27	34	17	30	38	10	17	3	34	25	5	79
FNDC11	0	13	5	6	6	2	16	19	6	14	4	11	2	14
PPDPF	846	1395	1127	788	505	1028	2230	653	586	457	1240	574	917	1078
SRMS	0	22	1	0	2	12	6	3	1	2	0	13	4	2
HELZ2	1243	1605	3444	1424	466	1933	4710	1593	2415	2652	2442	4203	2652	2228
ZGPAT	955	1404	1442	933	782	946	1604	995	966	752	1298	981	864	952
ARFRP1	1611	1650	1977	1625	1619	1602	2089	1835	1619	1311	1908	1496	1759	1590
LIME1	149	376	127	216	48	198	437	114	90	94	160	180	82	143
RTEL1	112	160	79	146	106	106	172	92	94	63	149	93	87	92
TNFRSF6B	7	15	10	36	0	15	28	19	4	0	21	7	5	8
RTEL1-TNFRSF6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A4RG	1314	1321	1289	1017	885	1204	1487	1323	1032	656	1170	702	1194	943
STMN3	395	1367	517	741	586	915	612	1290	284	174	329	476	241	148
ABHD16B	145	130	162	93	80	94	306	102	167	126	171	109	100	89
ZBTB46-AS1	6	36	6	15	1	14	22	0	2	25	13	11	0	2
UCKL1	1485	1634	1601	1519	1250	1481	1714	1587	1450	905	1307	1198	1469	1507
MIR941-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC5	6724	5389	12431	6256	9443	6062	5568	7998	8368	7766	8151	6392	9011	7267
MIR941-1	8	36	5	35	1	15	75	0	4	5	10	11	6	7
MIR941-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR941-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR941-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1914	18	24	6	9	11	8	24	2	13	4	10	11	3	11
MIR647	16	22	9	18	3	6	33	5	8	7	9	13	5	11
ZNF512B	2912	2579	3472	2335	4046	2559	2264	2434	3154	2172	3205	2117	3028	1621
SAMD10	218	103	364	101	207	104	363	184	180	247	325	214	186	112
UCKL1-AS1	171	199	97	150	34	122	200	24	118	105	128	146	65	80
NPBWR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6813	0	1	1	0	0	0	0	1	1	0	2	1	0	0
LINC00176	90	155	74	139	60	72	74	59	66	32	77	64	28	43
TCEA2	165	665	379	581	245	572	1090	790	295	334	537	521	389	671
OPRL1	16	51	40	66	18	61	61	67	28	57	29	59	31	74
LKAAEAR1	0	4	0	0	0	0	5	0	0	0	2	0	0	0
RGS19	436	332	672	382	449	381	294	520	482	314	400	347	667	406
SOX18	0	0	0	0	0	0	2	0	0	4	2	0	2	0
PCMTD2	2133	3392	3529	3535	3030	3415	2203	6721	2597	3423	2550	3147	3656	3659
MYT1	6	0	3	0	0	2	0	0	14	4	2	4	0	0
LINC00266-1	13	10	4	12	14	15	19	4	3	11	15	15	8	18
DSCAM	49	18	30	4	236	32	6	4	28	32	27	6	28	10
MIR99AHG	220	88	188	155	108	211	47	163	184	239	130	218	240	147
LINC01692	0	0	2	0	0	0	0	0	2	0	2	0	2	0
APP	21341	20717	54600	31571	34997	24984	47869	56721	32275	53902	45116	32775	38811	46438
ADAMTS5	6829	5114	28685	3529	16412	2785	34762	108370	7032	40466	16082	15657	44735	28844
TIAM1	1568	1980	2155	1968	1666	1739	905	2788	1886	1271	1447	1154	2125	1588
USP16	4979	2971	3861	3292	8311	4390	2357	7170	5981	3720	3360	3297	5249	4726
ERG	6	16	6	218	6	16	6	27	12	7	2	0	43	125
IFNAR2	925	945	2594	1603	1497	1369	3175	3469	1650	1421	1881	1638	1583	1756
MORC3	3234	3103	4191	3852	6128	4496	3236	7004	4276	4504	3336	4749	4535	4135
DYRK1A	6892	6862	7088	6408	9813	8292	4053	11814	8545	7447	7282	7204	8045	8774
RRP1B	7883	4076	6711	4994	11583	5616	2733	7032	8374	4151	4664	4670	7080	4707
TEKT4P2	11	105	262	8	68	166	294	8	57	2	505	244	155	10
ANKRD30BP2	20	5	23	1	3	15	86	74	18	101	16	32	31	20
RBM11	28	32	56	6	24	19	14	20	30	78	98	99	60	88
ANKRD20A11P	0	54	46	0	2	0	46	0	0	0	0	29	0	0
SAMSN1	2	4	0	2	1	9	6	12	15	7	7	2	12	18
NRIP1	19501	11625	24797	21800	19675	23371	12986	46555	19745	19580	20229	20402	25185	26557
LOC388813	0	2	0	2	2	2	2	0	5	4	0	14	2	4
USP25	5042	4531	5443	6079	7669	6837	4368	9408	5803	6331	4841	5941	6647	6501
CHODL	63	32	22	3	32	5	49	26	42	44	48	33	31	35
TMPRSS15	2	0	0	0	5	0	0	0	0	0	0	0	1	0
MIR548XHG	0	0	0	0	2	0	0	0	0	0	0	0	0	0
LINC00320	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NCAM2	0	41	7	7	115	8	0	4	48	64	22	2	34	50
LINC01687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01689	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LINC01684	0	2	0	0	0	0	0	0	0	0	5	0	0	0
GABPA	2773	2015	2909	2453	4052	2618	1761	5250	3081	2586	2195	2342	3656	2998
CYYR1	97	158	64	156	89	183	39	180	94	26	45	102	59	196
CYYR1-AS1	33	53	7	44	23	55	12	25	23	11	22	47	23	34
LINC00113	3	0	4	0	4	0	5	3	4	11	1	13	4	0
LINC01697	1	3	0	0	0	0	0	0	4	8	4	1	1	0
LINC01695	0	2	4	0	0	1	3	2	4	0	4	2	0	2
MAP3K7CL	522	734	1246	297	702	331	1232	871	429	1639	980	707	876	524
GRIK1	261	477	165	622	300	1015	259	201	298	374	446	413	174	435
CLDN8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
HUNK	4	0	22	4	30	40	6	12	6	7	24	24	14	4
EVA1C	128	177	89	87	271	188	23	44	159	64	153	84	119	271
SYNJ1	1094	1476	1294	1333	2222	1443	769	1562	1805	1296	1357	1154	1713	1215
URB1	5573	4644	6870	6021	9746	5574	3694	5086	7135	4559	4967	4399	5597	5546
TCP10L	6	4	0	11	4	1	6	12	4	10	4	6	8	11
MRAP	13	30	10	13	13	10	4	3	18	13	14	5	11	8
CRYZL1	797	718	920	1036	1426	1102	731	1478	1068	934	755	733	1173	1163
ITSN1	4901	5625	6746	6298	7553	5131	3739	8398	7008	5548	5568	4577	5749	5928
RCAN1	2636	2945	4386	4033	14762	8580	2853	7214	7628	7104	5198	3646	4188	8222
RUNX1	4999	8146	5486	4863	6685	8080	4138	6964	6529	6507	7961	4434	5221	6620
CLIC6	10	2	23	8	22	25	46	286	9	61	40	79	65	73
DOPEY2	6092	2033	9244	2846	5182	2889	6157	11124	4814	5396	3665	3752	5880	3254
LOC100506403	1	0	0	0	0	0	0	0	0	1	4	0	2	0
LOC101928269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100133286	9	4	2	5	1	6	2	4	6	1	2	8	6	0
TTC3	16955	27599	22364	32898	28904	32093	16396	35004	18834	21938	22207	19192	23945	32565
CLDN14	248	274	165	305	141	207	134	108	79	222	275	171	225	158
HLCS	2472	2690	3211	2539	5044	3536	2061	5254	3918	2759	3228	2678	3375	3887
DSCR4	0	0	4	0	0	0	0	0	0	2	0	0	4	0
LINC01423	2	5	6	10	1	13	4	6	1	4	4	0	2	6
KCNJ6	7	94	19	8	44	8	8	13	109	15	11	2	32	6
WRB	1257	820	1818	980	2093	1129	1272	2406	1318	1171	916	917	1688	1520
WRB-SH3BGR	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BRWD1	12501	14898	16160	18852	19824	18678	10969	26503	15717	18826	14449	18778	15739	21090
B3GALT5	296	156	1740	489	91	410	432	2855	283	424	477	689	307	685
PCP4	0	0	2	3	2	6	0	19	1	3	2	6	0	4
IGSF5	7	21	49	58	68	29	13	161	54	10	34	23	34	58
FAM3B	0	2	0	0	0	0	0	4	0	0	0	0	2	3
BACE2	704	650	2373	875	4149	685	2409	5341	1525	2324	1361	1115	4990	2852
TMPRSS2	21	4	638	35	2	22	1572	252	59	630	26	207	121	597
UMODL1	0	0	1	0	0	2	0	0	6	0	0	2	0	0
PRDM15	1195	870	1029	1191	1148	1282	795	1181	1070	842	877	949	1145	1070
ABCG1	21	278	72	145	8	154	142	101	12	237	473	351	190	861
RSPH1	4	0	9	1	0	7	16	4	8	8	11	14	1	10
PDE9A	0	0	35	4	0	0	4	6	0	29	8	11	0	0
PKNOX1	1689	1308	1978	1749	2631	1441	1100	1879	2345	1408	1264	1085	1905	1557
HSF2BP	309	521	231	598	519	379	179	247	504	260	378	267	471	599
RRP1	1980	1114	1670	958	1611	1286	1175	1204	1708	1161	1292	1224	1469	1027
AGPAT3	6285	4749	10969	6003	7112	5234	5442	8012	5978	6779	6810	6079	7486	6892
PFKL	3541	4072	6345	3942	4559	3488	5217	4549	3560	3603	4686	3040	3848	3953
TSPEAR	2	6	5	2	0	2	1	0	0	4	20	10	0	7
TRAPPC10	6203	5961	7762	6037	10739	7133	4568	8692	7662	7391	6792	6509	8285	7100
ADARB1	527	817	925	461	1138	759	586	724	974	924	749	448	583	1807
COL18A1	9195	17363	41627	21276	11738	25860	80985	41512	9586	19694	41540	20429	18481	19364
LINC00334	10	7	4	4	9	6	2	2	8	5	4	7	4	9
PCBP3	12	12	18	6	15	14	24	14	36	25	31	58	9	18
DIP2A	3457	3562	4423	3526	3394	3888	3595	4086	3332	3408	2854	3297	3416	3310
YBEY	274	325	287	393	528	400	248	560	479	336	208	157	445	268
PCNT	5283	5992	5524	4966	5289	6122	3747	5807	4097	4232	4468	4490	4995	4776
MIR3648-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3687-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3687-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3648-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPTE	8	0	3	9	0	10	3	0	1	8	1	0	3	1
BAGE4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE	0	5	1	0	0	0	0	0	0	2	0	2	0	2
BAGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTED	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3118-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR8069-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR8069-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F29P	4	124	149	0	4	2	47	2	0	0	2	88	6	16
LIPI	19	7	9	22	21	13	0	12	10	7	14	7	10	8
ABCC13	0	0	4	0	4	0	0	4	0	0	18	2	0	0
HSPA13	6280	6337	6900	6686	16893	15275	5642	20849	9910	12226	8442	10249	10703	15714
SAMSN1-AS1	0	3	0	0	0	2	1	0	0	0	0	0	2	0
MIR99A	1	0	4	4	2	1	4	1	1	4	0	3	3	5
MIRLET7C	2	0	3	1	0	3	0	2	0	0	6	0	2	3
MIR125B2	1	0	2	0	0	0	0	1	2	2	1	0	3	2
LINC01549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTG3	2307	1561	1845	2225	4117	2641	1493	3541	2671	1625	2025	2125	2345	3268
CXADR	1482	1228	4252	435	2469	730	1724	4220	1165	2265	2011	1426	1850	1146
C21orf91-OT1	17	1	5	9	7	9	3	5	5	7	0	12	7	2
C21orf91	1393	1150	1080	1339	2480	1769	557	3182	1730	1254	736	1445	1904	1353
CHODL-AS1	1	0	3	2	0	0	0	2	2	1	0	0	0	2
MIR548X	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00317	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D21S2088E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00158	6	0	0	2	0	0	6	2	7	19	4	10	2	4
MIR155HG	623	322	278	583	470	698	253	535	561	297	588	375	422	297
MIR155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00515	63	40	40	53	38	54	19	38	23	36	48	30	38	29
MRPL39	1212	639	971	724	1566	843	613	1525	979	733	632	777	1293	912
ATP5J	1772	1259	1804	1730	3142	1560	1454	2905	2192	1420	1233	1399	2270	1945
JAM2	71	113	101	241	48	276	56	266	60	143	154	140	109	314
ADAMTS1	31984	9769	21723	7967	39527	5708	13204	17692	27105	27527	23418	17433	25578	13042
MIR4759	8	7	19	4	6	3	10	34	11	38	15	11	12	18
LINC00314	0	0	0	0	1	0	0	0	1	0	0	0	0	0
LINC00161	22	0	6	0	0	2	4	2	5	0	4	0	4	0
N6AMT1	361	255	276	347	355	308	155	540	392	245	218	228	320	283
RWDD2B	1101	1029	1224	1279	2365	1889	848	2325	1609	1442	1213	1132	1771	1625
LTN1	8330	6333	8934	8171	13664	11481	6152	14963	10986	9835	7268	9692	10617	10515
CCT8	15224	7470	13736	10622	27559	12816	5855	20654	17674	8841	8450	9160	17052	11468
LINC00189	5	26	9	5	12	85	14	30	6	17	119	52	26	33
BACH1-IT2	105	120	55	125	81	166	35	27	70	104	73	79	35	83
BACH1	8213	13727	8700	15588	20533	17871	7061	16276	13237	15231	13334	11694	12874	17203
GRIK1-AS2	20	38	22	49	41	72	21	25	35	45	33	49	36	42
GRIK1-AS1	3	8	6	11	0	9	0	2	1	3	6	8	0	7
CLDN17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP25-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP26-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP13-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP23-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP22-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP22-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP20-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
